Time,Last Price,Net Change,Volume,OI,Buy Quantity,Sell Quantity,Buy Sell Diff,Total Bid Qty,Total Offer Qty
2025-11-04 21:02:12,119787,0,61575.0,39027.0,1705,2889,-1184,18,9
2025-11-04 21:02:05,119740,0,61556.0,39027.0,1677,2903,-1226,13,13
2025-11-04 21:02:00,119755,0,61555.0,39027.0,1677,2893,-1216,10,14
2025-11-04 21:01:55,119751,0,61553.0,39029.0,1686,2895,-1209,10,10
2025-11-04 21:01:49,119737,0,61552.0,39029.0,1675,2901,-1226,10,12
2025-11-04 21:01:44,119740,0,61551.0,39029.0,1674,2897,-1223,22,14
2025-11-04 21:01:38,119752,0,61546.0,39029.0,1706,2896,-1190,7,5
2025-11-04 21:01:33,119714,0,61543.0,39029.0,1693,2888,-1195,17,10
2025-11-04 21:01:28,119714,0,61543.0,39032.0,1677,2895,-1218,7,12
2025-11-04 21:01:23,119752,0,61539.0,39032.0,1694,2882,-1188,11,10
2025-11-04 21:01:16,119739,0,61538.0,39032.0,1688,2900,-1212,12,11
2025-11-04 21:01:11,119739,0,61538.0,39032.0,1678,2900,-1222,6,14
2025-11-04 21:01:06,119743,0,61529.0,39032.0,1682,2896,-1214,8,13
2025-11-04 21:01:01,119734,0,61520.0,39032.0,1675,2905,-1230,6,12
2025-11-04 21:00:55,119724,0,61516.0,39032.0,1676,2916,-1240,7,11
2025-11-04 21:00:50,119751,0,61513.0,39032.0,1684,2898,-1214,6,12
2025-11-04 21:00:44,119763,0,61510.0,39038.0,1712,2907,-1195,6,6
2025-11-04 21:00:39,119762,0,61509.0,39038.0,1696,2917,-1221,11,14
2025-11-04 21:00:34,119750,0,61505.0,39038.0,1714,2883,-1169,8,7
2025-11-04 21:00:29,119743,0,61499.0,39044.0,1685,2880,-1195,8,11
2025-11-04 21:00:24,119743,0,61499.0,39044.0,1690,2882,-1192,5,12
2025-11-04 21:00:19,119717,0,61490.0,39044.0,1711,2873,-1162,7,14
2025-11-04 21:00:14,119718,0,61489.0,39044.0,1697,2886,-1189,8,13
